2022/03/02, 12:41:38, [    8],[    1],71,C6,0,0,30,0,2E,0,70,0,2A,0,DC,0,1,0,1,0,0,1,0,0,3,1C,0,0,53,55,42,20,74,61,73,6B,20,72,65,73,74,61,72,74,20,69,6D,70,6F,73,73,69,62,6C,65,20,
2022/03/02, 12:41:41, [  121],[    1],72,C6,0,0,10,0,E,0,70,0,A,0,DC,0,1,0,1,0,0,0,0,0,
0000/00/00, 00:00:00, [65535],[    0],0,0,0,0,0,0,
2022/03/02, 12:40:32, [    7],[    1],10,C6,0,0,48,0,E,0,5B,0,0,2,1,0,4,0,3,0,0,0,0,0,E,0,5C,0,0,2,1,0,4,1C,4,7,11,0,0,0,1A,0,52,0,0,0,0,0,2,0,C,0,0,0,2,0,0,0,E,0,0,0,0,0,0,0,1,0,A,0,53,0,1,E,0,0,0,2,0,1,
2022/03/02, 12:40:32, [    6],[    1],11,C6,0,0,48,0,E,0,5B,0,0,2,1,0,4,0,4,0,0,0,0,0,E,0,5C,0,0,2,1,0,4,1C,5,8,11,0,0,0,1A,0,52,0,0,0,0,0,2,0,C,0,0,0,2,0,0,0,E,0,0,0,0,0,0,0,1,0,A,0,53,0,1,E,0,0,0,2,0,1,
2022/03/02, 12:40:32, [    5],[    1],12,C6,0,0,48,0,E,0,5B,0,0,2,1,0,4,0,5,0,0,0,0,0,E,0,5C,0,0,2,1,0,4,1C,6,6,11,0,0,0,1A,0,52,0,0,0,0,0,2,0,C,0,0,0,2,0,0,0,E,0,0,0,0,0,0,0,1,0,A,0,53,0,1,E,0,0,0,2,0,1,
2022/03/02, 12:40:33, [    7],[    1],13,C6,0,0,48,0,E,0,5B,0,0,2,1,0,4,0,6,0,0,0,0,0,E,0,5C,0,0,2,1,0,4,1C,7,6,11,0,0,0,1A,0,52,0,0,0,0,0,2,0,C,0,0,0,2,0,0,0,E,0,0,0,0,0,0,0,1,0,A,0,53,0,1,E,0,0,0,2,0,1,
2022/03/02, 12:40:33, [    7],[    1],14,C6,0,0,48,0,E,0,5B,0,0,2,1,0,4,0,7,0,0,0,0,0,E,0,5C,0,0,2,1,0,4,1C,8,6,11,0,0,0,1A,0,52,0,0,0,0,0,2,0,C,0,0,0,2,0,0,0,E,0,0,0,0,0,0,0,1,0,A,0,53,0,1,E,0,0,0,2,0,1,
2022/03/02, 12:40:34, [   33],[    1],15,C6,0,0,34,1,32,1,70,0,2E,1,C5,0,1,0,1,0,0,0,CB,0,1,0,5,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,CF,40,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022/03/02, 12:40:36, [  108],[    1],16,C6,0,0,E,0,C,0,70,0,8,0,C6,0,1,0,1,0,0,0,
