2021/09/02 13:20:07 1 [1-1] 0x00000000 80,0,0,0,1,0,1,55,10,0,0,0,[80,0,0,0,1,0,1,AA,10,0,0,0,][0,0,0,0,0,0,0,0,0,0,0,0,]
2021/09/02 13:20:07 1 [1-1] 0x00000000 18,0,0,0,2,0,0,55,0,0,0,0,[18,0,0,0,2,0,0,AA,0,0,0,0,][0,0,0,0,0,0,0,0,0,0,0,0,]
2021/09/02 13:20:08 1 [1-2] 0x00000000 1A,0,0,0,3,0,0,55,2C,0,4,0,[18,0,0,0,2,0,0,AA,0,0,0,0,][1A,0,0,0,3,0,0,AA,2C,0,4,0,]
2021/09/02 13:20:08 1 [1-2] 0x00000000 15,0,0,0,4,0,0,55,4,0,4,0,[1A,0,0,0,3,0,0,AA,2C,0,4,0,][15,0,0,0,4,0,0,AA,4,0,4,0,]
2021/09/02 13:20:08 1 [1-2] 0x00000000 80,0,0,0,5,0,1,55,10,1,0,0,[15,0,0,0,4,0,0,AA,4,0,4,0,][80,0,0,0,5,0,1,AA,10,1,0,0,]
2021/09/02 13:20:09 1 [1-1] 0x00000000 15,0,0,0,6,0,0,55,4,0,4,0,[15,0,0,0,6,0,0,AA,4,0,4,0,][0,0,0,0,0,0,0,0,0,0,0,0,]
2021/09/02 13:20:46 1 [1-2] 0x00000000 3,0,0,0,7,0,0,55,28,9F,4,0,[15,0,0,0,6,0,0,AA,4,0,4,0,][3,0,0,0,7,0,0,AA,28,9F,4,0,]
2021/09/02 13:20:46 1 [1-2] 0x00000000 1,0,0,0,8,0,1,55,0,0,8,0,[3,0,0,0,7,0,0,AA,28,9F,4,0,][1,0,0,0,8,0,1,AA,0,0,8,0,]
2021/09/02 13:20:47 1 [1-1] 0x00000000 15,0,0,0,9,0,0,55,4,0,4,0,[15,0,0,0,9,0,0,AA,4,0,4,0,][0,0,0,0,0,0,0,0,0,0,0,0,]
2021/09/02 13:20:48 1 [1-2] 0x00000000 32,0,0,0,A,0,0,55,19,0,A8,0,[15,0,0,0,9,0,0,AA,4,0,4,0,][32,0,0,0,A,0,0,AA,19,0,A8,0,]
2021/09/02 13:20:48 1 [1-2] 0x00000000 15,0,0,0,B,0,0,55,4,0,4,0,[32,0,0,0,A,0,0,AA,19,0,A8,0,][15,0,0,0,B,0,0,AA,4,0,4,0,]
2021/09/02 13:20:51 1 [1-2] 0x00000000 5,0,0,0,C,0,0,55,0,0,8C,0,[15,0,0,0,B,0,0,AA,4,0,4,0,][5,0,0,0,C,0,0,AA,0,0,8C,0,]
2021/09/02 13:20:51 1 [1-2] 0x00000000 15,0,0,0,D,0,0,55,4,0,4,0,[5,0,0,0,C,0,0,AA,0,0,8C,0,][15,0,0,0,D,0,0,AA,4,0,4,0,]
2021/09/02 13:20:52 1 [1-2] 0x00000000 80,0,0,0,E,0,1,55,29,0,0,0,[15,0,0,0,D,0,0,AA,4,0,4,0,][80,0,0,0,E,0,1,AA,29,0,0,0,]
2021/09/02 13:20:58 1 [1-1] 0x00000000 3,0,0,0,F,0,0,55,5,0,4,0,[3,0,0,0,F,0,0,AA,5,0,4,0,][0,0,0,0,0,0,0,0,0,0,0,0,]
2021/09/02 13:20:58 1 [1-2] 0x00000000 1,0,0,0,10,0,1,55,C0,AB,8,0,[3,0,0,0,F,0,0,AA,5,0,4,0,][1,0,0,0,10,0,1,AA,C0,AB,8,0,]
2021/09/02 13:20:59 1 [1-1] 0x00000000 15,0,0,0,11,0,0,55,4,0,4,0,[15,0,0,0,11,0,0,AA,4,0,4,0,][0,0,0,0,0,0,0,0,0,0,0,0,]
2021/09/02 13:21:01 1 [1-2] 0x00000000 3,0,0,0,12,0,0,55,0,0,4,0,[15,0,0,0,11,0,0,AA,4,0,4,0,][3,0,0,0,12,0,0,AA,0,0,4,0,]
2021/09/02 13:21:01 1 [1-2] 0x00000000 1,0,0,0,13,0,1,55,0,0,8,0,[3,0,0,0,12,0,0,AA,0,0,4,0,][1,0,0,0,13,0,1,AA,0,0,8,0,]
2021/09/02 13:21:02 1 [1-1] 0x00000000 15,0,0,0,14,0,0,55,C0,AB,4,0,[15,0,0,0,14,0,0,AA,C0,AB,4,0,][0,0,0,0,0,0,0,0,0,0,0,0,]
2021/09/02 13:21:02 1 [1-2] 0x00000000 15,0,0,0,15,0,0,55,4,0,4,0,[15,0,0,0,14,0,0,AA,C0,AB,4,0,][15,0,0,0,15,0,0,AA,4,0,4,0,]
