Reset Time = 2022/03/02 13:51:45

YPP_Recv_No_recommand = 50802, YPP_Recv_No = 50802

Command Recv Socket Recreate Log =>
    [ 0] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 1] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 2] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 3] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
Ack Send Socket Recreate Log =>
    [ 0] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 1] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 2] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 3] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000

Recv Command Data Error Log =>
    [ 0] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 1] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 2] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 3] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0

Recv Command Data Store And Analize Log =>
    [  0], 2022/03/02, 12:41:37, 1, 0, [-----], [------],    0,  846 ->  866
    [  1], 2022/03/02, 12:41:37, 1, 0, [-----], [------],    0,  866 ->  894
    [  2], 2022/03/02, 12:41:37, 1, 0, [-----], [------],    0,  894 ->  906
    [  3], 2022/03/02, 12:41:37, 1, 0, [-----], [------],    0,  906 ->  914
    [  4], 2022/03/02, 12:41:37, 1, 0, [-----], [------],    0,  914 -> 1008
    [  5], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0, 1008 -> 1024
    [  6], 2022/03/02, 12:41:38, 0, 0, [    1], [0xc66c],   38, 1024 ->  986
    [  7], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  986 -> 1024
    [  8], 2022/03/02, 12:41:38, 0, 0, [    1], [0xc66d],  280, 1024 ->  744
    [  9], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  744 ->  928
    [ 10], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  928 -> 1004
    [ 11], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0, 1004 -> 1024
    [ 12], 2022/03/02, 12:41:38, 0, 0, [    1], [0xc66e],  556, 1024 ->  468
    [ 13], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  468 ->  548
    [ 14], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  548 ->  948
    [ 15], 2022/03/02, 12:41:38, 0, 0, [    1], [0xc66f],    8,  948 ->  940
    [ 16], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  940 ->  956
    [ 17], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  956 ->  976
    [ 18], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  976 -> 1004
    [ 19], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0, 1004 -> 1016
    [ 20], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0, 1016 -> 1024
    [ 21], 2022/03/02, 12:41:38, 0, 0, [    1], [0xc670],  360, 1024 ->  664
    [ 22], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  664 -> 1004
    [ 23], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0, 1004 -> 1024
    [ 24], 2022/03/02, 12:41:38, 0, 0, [    1], [0xc671],   48, 1024 ->  976
    [ 25], 2022/03/02, 12:41:38, 1, 0, [-----], [------],    0,  976 -> 1024
    [ 26], 2022/03/02, 12:41:41, 0, 0, [    1], [0xc672],   16, 1024 -> 1008
    [ 27], 2022/03/02, 12:41:41, 1, 0, [-----], [------],    0, 1008 -> 1024
